id;Label_B_emotion;Label_A2_negative;Label_A3_neutral;Label_A1_positive
947332640385925120;2;0;1;0
947310897420259328;2;0;1;0
947187619166765056;2;0;1;0
947537019487637504;2;0;1;0
947163973329268738;0;1;0;0
947433064300290048;1;0;0;1
947583098077831168;0;1;1;1
947491808484892673;2;0;1;0
947460103158095872;2;0;1;0
947471450042175488;2;0;1;0
947407114326237185;1;0;0;1
947521294366625793;2;0;1;0
947506487026438145;1;0;0;1
947491007666491392;0;1;0;0
947165410973175809;2;0;1;0
947494905315721216;1;1;0;1
947472747076182016;2;0;1;0
947559088229179395;2;0;1;0
947570650310434816;2;0;1;0
947535313685172225;0;1;0;0
947482662960287744;0;1;0;0
947256982398033920;0;1;0;0
947129423945277440;1;0;0;1
947241544980996096;0;1;0;0
947460933256744961;1;0;0;1
947147292221542406;2;0;1;0
947599760063594496;1;0;0;1
947598152655183872;1;0;0;1
947422085369999360;2;0;1;0
947533639516151810;0;1;1;0
947515236902428672;1;0;0;1
947124180562120704;0;1;0;0
947527891973054464;0;1;0;0
947399032237973504;1;0;0;1
947120348088143872;1;0;0;1
947261055276687361;0;1;0;0
947545302462025733;0;1;0;0
947200505465507840;2;0;1;0
947344906779025408;2;0;1;0
947490859087482880;2;0;1;0
947159200471310336;1;0;0;1
947187727484817409;0;1;0;1
947274870831886336;2;0;1;0
947186297403305984;0;1;1;0
947326022738997248;0;1;0;0
947420819138973696;1;0;0;1
947286960250306560;2;0;1;0
947311336710647809;1;0;0;1
947165791962660866;0;1;0;0
947230629195739136;0;1;0;0
947340799926206465;1;0;0;1
947159667125424134;1;0;0;1
947448798917419008;2;0;1;0
947460305759727616;0;1;0;0
947482668064804864;1;0;0;1
947541831868452864;1;0;0;1
947172482020147200;2;0;1;0
947221330801385479;2;0;1;0
947592999248236545;2;0;1;0
947136779823599617;0;1;0;0
947170864717496320;2;0;1;0
947436614355058693;1;0;0;1
947497815080669185;0;1;0;0
947516457457512453;2;0;1;0
947229186241921024;1;0;0;1
947592199381835776;0;1;1;0
947483803743932416;0;1;0;0
947400995084165120;0;1;0;1
947551707902431232;2;0;1;0
947162859519250433;0;1;0;0
947278487936577537;0;1;0;0
947572185627013120;2;0;1;0
947222088733089792;1;0;0;1
947248096068751361;0;1;0;0
947333508049129472;1;0;1;1
947458023340982272;2;0;1;0
947226803516489728;1;0;0;1
947581093028413440;2;0;1;0
947175747726249984;0;1;0;0
947563971875344385;1;0;0;1
947237896934658048;2;0;1;0
947189751706193920;1;0;0;1
947517043984740352;1;0;0;1
947133806565363714;0;1;1;0
947154958339788801;1;0;0;1
947530086365896704;1;0;1;1
947295892243181574;1;0;0;1
947221075099754496;0;1;0;0
947391963883560962;0;1;1;0
947528046390792192;2;0;1;0
947484765044727809;0;1;0;0
947501672590438400;2;0;1;0
947127676741083136;2;0;1;0
947395503720976384;1;0;0;1
947308672123891712;0;1;0;0
947205284690386945;0;1;0;0
947573741403496449;2;0;1;0
947574671452536832;2;0;1;0
947454187197132800;2;0;1;0
947126486049402880;2;0;1;0
947489306448347136;0;1;1;0
947344739753267201;0;1;1;0
947437208587460608;0;1;0;0
947129662924304384;2;0;1;0
947609060702027776;1;0;1;1
947201875543298048;0;1;0;0
947538771334930433;2;0;1;0
947525236743987200;1;0;0;1
947488834689880065;2;0;1;0
947466472598790145;2;0;1;0
947495796752179202;1;0;0;1
947516818213793792;1;0;0;1
947509880541274113;1;0;0;1
947524341373263872;1;0;0;1
947354135732428801;0;1;0;0
947326924052983809;2;0;1;0
947507431818645504;2;0;1;0
947125742504173569;2;0;1;0
947613328427319296;0;1;0;0
947271859707547649;0;1;0;1
947564399790837760;1;0;0;1
947248424663113728;0;1;0;0
947237127087149057;0;1;0;0
947137781834354688;2;0;1;0
947394867360972801;0;1;1;0
947181276217430016;1;1;0;1
947599339484041217;2;0;1;0
947356338836840449;0;1;0;0
947222973769011200;1;0;0;1
947438110257876992;0;1;0;0
947305377015705600;1;0;0;1
947579360260784131;2;0;1;0
947185546669035521;2;0;1;0
947246007573712896;2;0;1;0
947229322246471680;2;0;1;0
947613684934807553;1;0;0;1
947226001574191110;1;0;1;1
947223019453407232;0;1;0;0
947141007707131904;0;1;0;0
947177639558680578;2;0;1;0
947436087265423361;1;0;0;1
947509928662417408;0;1;0;0
947122251001933824;0;1;0;0
947172011469672448;0;1;0;0
947360826046013440;2;0;1;0
947297085530898433;1;0;1;1
947530459382153220;2;0;1;0
947475489014284288;2;0;1;0
